iterate, base, threaded, generics
0, 347991560, 224822057, 1039498471
1, 337363582, 224920993, 989663524
2, 337419762, 206384486, 1075310343
3, 339138693, 206487797, 970024229
4, 337286678, 206532833, 1034090130
5, 335906745, 206365587, 969137544
6, 338067311, 206520188, 1014269347
7, 335966672, 206396948, 966118594
8, 336396340, 206482424, 965649228
9, 336075567, 206380048, 965491219
10, 336733338, 206368685, 965474908
11, 337010158, 206560908, 983913501
12, 336238309, 206471180, 1015319029
13, 336758418, 206519269, 962861071
14, 337527541, 223037771, 1028895293
15, 337269414, 206458264, 992532663
16, 337497588, 206439839, 1000396230
17, 336426959, 206529466, 989403165
18, 337163586, 227362357, 1010824197
19, 336888084, 206503533, 961815500
20, 337727757, 206323100, 974899152
21, 339823963, 206441076, 960405962
22, 336681276, 218709567, 959694219
23, 336910404, 206495933, 960081604
24, 335721467, 206442362, 959231578
25, 335987606, 206585714, 961676197
26, 336158147, 206372748, 965309050
27, 336708531, 226992692, 960715850
28, 337580361, 206599431, 987960423
29, 336898062, 206502104, 989466398
30, 336115581, 206362811, 987491980
31, 337213436, 206873649, 989316122
32, 336783992, 206576036, 959878223
33, 336453087, 206532004, 959472156
34, 336775875, 206434360, 960493173
35, 337089680, 206469523, 959854016
36, 336709004, 206476519, 959986361
37, 336519468, 206498733, 959294824
38, 336958339, 206306534, 959659575
39, 337047521, 206481269, 991006711
40, 336632998, 206288443, 960509285
41, 336645935, 206396365, 960022855
42, 336903803, 206639505, 987165556
43, 336994990, 206446196, 961387799
44, 336594391, 206439245, 960238505
45, 336838405, 206631037, 961061817
46, 336920494, 206382199, 959524251
47, 336858156, 212658202, 958934192
48, 337077631, 206421592, 990121361
49, 336893080, 206490052, 989248004
50, 337870651, 206409344, 959833266
51, 336101049, 206509203, 959769413
52, 336563772, 206398978, 988390531
53, 337022398, 206563185, 960531541
54, 336915402, 206559564, 988344451
55, 337561221, 206468611, 989907214
56, 337281967, 222602060, 961034345
57, 336450896, 206533113, 975327896
58, 336913408, 206510971, 961527597
59, 335866028, 206594731, 960713782
60, 337748597, 206510574, 960464307
61, 335835203, 206797477, 960444807
62, 336666751, 207122374, 958425198
63, 336108800, 207000421, 962379981
64, 336934600, 206493356, 961686195
65, 336978774, 206405736, 960849628
66, 336766638, 206404761, 960107517
67, 336891151, 207285099, 960461524
68, 338189773, 206599524, 960027139
69, 337278246, 206518616, 960281328
70, 337031608, 206535298, 987842543
71, 335724744, 206226393, 961320193
72, 337011749, 206552254, 960469888
73, 337609275, 206390218, 961381362
74, 337058839, 206526877, 960394966
75, 336556672, 218546216, 992354922
76, 337233880, 208524612, 960060504
77, 335642872, 206412070, 959891171
78, 336386557, 207262272, 961761531
79, 336665254, 206426256, 989517385
80, 336933179, 206538265, 989745038
81, 336912109, 206396168, 988905984
82, 336808325, 206713155, 989837816
83, 337369134, 206480049, 988894598
84, 337542178, 206605863, 989410539
85, 335665891, 206444429, 960223245
86, 337269749, 206461841, 960274247
87, 338448680, 206602531, 958870628
88, 337182928, 206499472, 994210130
89, 338143809, 207152273, 960330195
90, 336616158, 207048603, 959997112
91, 335437504, 206419623, 959927658
92, 338067617, 206663955, 961482450
93, 337270488, 206343107, 961065374
94, 336780614, 206399628, 963877548
95, 337108699, 206573894, 989853833
96, 337580174, 206574144, 959769792
97, 335341256, 206486803, 959306830
98, 335893338, 206431198, 959495305
99, 339214940, 231552546, 962179479
