iterate, base, threaded, generics
0, 353296942, 206406563, 704743753
1, 328088416, 217629913, 864460332
2, 298804442, 192350843, 633840897
3, 299454015, 458096923, 640376010
4, 297940748, 186622138, 695568039
5, 297721065, 186690182, 740973448
6, 298015085, 186414641, 690146581
7, 299149158, 186798517, 691711439
8, 298354721, 186910487, 698108034
9, 299338236, 186500690, 590215465
10, 298471530, 186342142, 590518184
11, 310634176, 186989660, 590738605
12, 298323372, 185772344, 590453007
13, 298638408, 185678310, 590250811
14, 298415791, 185743664, 590424769
15, 298708396, 185822143, 592935464
16, 298476355, 185894712, 592548349
17, 298631597, 185724125, 590351696
18, 298809143, 186100477, 590651808
19, 298691253, 185911957, 590236886
20, 298089544, 185592177, 590444651
21, 298971933, 185679284, 590775263
22, 299103478, 185803111, 590390591
23, 299762793, 185785057, 592480432
24, 299048067, 185780178, 591465378
25, 299580284, 185686903, 590789685
26, 299272725, 185736911, 590147230
27, 299732932, 185636908, 587626199
28, 297924292, 185583989, 588408600
29, 298744763, 185802379, 589529024
30, 298875632, 185730614, 589367808
31, 299664576, 185631104, 590642392
32, 298506477, 185731811, 589672008
33, 299915020, 185784336, 590010395
34, 299445743, 185596623, 590137589
35, 299943272, 185790563, 590564508
36, 299102654, 185571168, 590567700
37, 299936726, 185670334, 590147166
38, 299469119, 185635804, 590284629
39, 299661218, 185647905, 590474431
40, 299181548, 185733981, 589382153
41, 299256181, 186003864, 590181986
42, 299265640, 190467479, 590267614
43, 300132809, 185651898, 590055899
44, 299537405, 185687896, 590334627
45, 299742159, 185698900, 590089584
46, 299543567, 185708705, 590159983
47, 299412331, 185855507, 590651839
48, 299299886, 185807868, 590249522
49, 299755913, 185798101, 590247451
50, 299760041, 185671656, 590475648
51, 299833877, 185684111, 590461206
52, 299073419, 185735834, 590726383
53, 299398089, 185768676, 590322513
54, 299215889, 185763628, 590544416
55, 299825644, 185882944, 590351854
56, 299200490, 185699631, 590632666
57, 300042298, 185737414, 590627324
58, 299281322, 192202486, 590903705
59, 299526230, 185516585, 589788217
60, 299753773, 185722731, 590991085
61, 299759856, 185651600, 590771763
62, 299651191, 185644258, 590768531
63, 299844662, 185795645, 590125788
64, 299582530, 185582111, 588607606
65, 298770280, 185702556, 588671060
66, 298448579, 185636935, 588793986
67, 298539861, 185658384, 588995305
68, 298166834, 185592759, 588654163
69, 298360504, 185803271, 588724552
70, 298520542, 185800860, 588956253
71, 304371602, 185662306, 588574673
72, 298519628, 185688222, 588637038
73, 298998791, 185761123, 588892076
74, 298807616, 185791810, 588675344
75, 298640373, 185660932, 589019187
76, 298167031, 186112251, 588829930
77, 298560681, 185617665, 588828456
78, 299203660, 185616877, 591820086
79, 299691320, 185708642, 589734514
80, 299034280, 185583879, 589521415
81, 299279354, 185784706, 589785826
82, 299372555, 185717263, 590065141
83, 300047437, 185772846, 590021605
84, 299650009, 185599134, 591015549
85, 300047738, 185674624, 590424914
86, 299103641, 185626773, 590709486
87, 299613411, 185734535, 588412491
88, 298509148, 185603886, 588612795
89, 298271708, 185786099, 589980054
90, 298530691, 185659798, 588633931
91, 298619059, 185764368, 590472161
92, 299530820, 185718435, 590501671
93, 299425654, 185752933, 590238993
94, 299346189, 185800263, 590758215
95, 299660295, 185771078, 590691169
96, 299578287, 185739295, 589920105
97, 301296598, 185739405, 589971704
98, 299346193, 186450974, 590460924
99, 299565749, 185714774, 590050835
